"Part";"Value";"Device";"Package";"Description";"DESIGNER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD-ID";"PROD_ID";"SUPPLIER";"VALUE";"VERSION";
"C1";"4.7u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"VISHAY/DALE";"IHLP2525CZER4R7M01";"";"53K4859";"";"";"";"";"";"";
"C2";"4.7u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"VISHAY/DALE";"IHLP2525CZER4R7M01";"";"53K4859";"";"";"";"";"";"";
"C3";"10u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"C0805C106Z8VACTU";"";"76Y2954";"";"";"";"";"";"";
"C4";"0.1u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"KEMET";"C0603C102J5GACTU";"";"02J8136";"";"";"";"";"";"";
"C5";"0.1u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"KEMET";"C0603C102J5GACTU";"";"02J8136";"";"";"";"";"";"";
"C6";"10u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"C0805C106Z8VACTU";"";"76Y2954";"";"";"";"";"";"";
"C7";"10u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"C0805C106Z8VACTU";"";"76Y2954";"";"";"";"";"";"";
"C8";"4.7u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"VISHAY/DALE";"IHLP2525CZER4R7M01";"";"53K4859";"";"";"";"";"";"";
"C9";"10u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"C0805C106Z8VACTU";"";"76Y2954";"";"";"";"";"";"";
"C10";"10u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"C0805C106Z8VACTU";"";"76Y2954";"";"";"";"";"";"";
"C11";"0.1u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"KEMET";"C0603C102J5GACTU";"";"02J8136";"";"";"";"";"";"";
"C12";"0.1u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"KEMET";"C0603C102J5GACTU";"";"02J8136";"";"";"";"";"";"";
"C13";"0.1u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"KEMET";"C0603C102J5GACTU";"";"02J8136";"";"";"";"";"";"";
"C14";"0.47u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"KEMET";"C0402C471K5RACTU";"";"88C9981";"";"";"";"";"";"";
"C15";"0.1u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"KEMET";"C0603C102J5GACTU";"";"02J8136";"";"";"";"";"";"";
